789,givemesport.com,54.172.51.67/
790,nikkeibp.co.jp,202.214.174.229/
791,olx.com.br,177.47.17.211/177.47.17.198/177.47.17.208/187.84.96.198/187.84.96.209/187.84.96.208/177.47.17.209/187.84.96.211/
792,tomshardware.com,52.88.188.252/52.33.78.178/
793,ria.ru,178.248.233.32/
794,videodownloadconverter.com,74.113.237.180/
795,backpage.com,96.45.83.5/96.45.83.238/96.45.82.157/96.45.82.113/
796,lefigaro.fr,212.95.67.222/
797,58.com,115.159.231.139/
798,qvc.com,167.140.19.231/
799,victoriassecret.com,98.158.52.206/
800,n11.com,176.41.133.10/
801,gyazo.com,104.199.138.120/
802,google.by,2404:6800:4005:80b::2004/216.58.197.100/
803,nydailynews.com,104.156.85.64/104.156.81.64/23.235.37.64/23.235.33.64/
804,gamersky.com,115.238.129.220/
805,tesco.com,156.154.166.223/
806,behance.net,74.205.63.94/
807,popsugar.com,50.19.248.145/
808,ew.com,216.146.46.10/216.146.46.11/
809,techradar.com,89.167.142.38/89.167.143.23/89.167.143.24/89.167.142.33/
810,mit.edu,104.70.139.158/2600:140b:1f:1:a500::255e/2600:140b:1f:1:a100::255e/
811,torcache.net,95.215.61.199/94.242.255.194/109.163.226.148/
812,uniqlo.com,54.199.152.193/
813,liveleak.com,199.80.59.132/208.71.130.253/208.71.130.252/
814,getpocket.com,52.7.98.249/107.23.25.105/52.21.11.127/54.172.96.248/
815,primewire.ag,104.27.168.105/104.27.169.105/
816,seasonvar.ru,178.236.137.57/178.236.137.118/178.236.137.154/178.236.137.157/178.236.137.156/
817,google.rs,216.58.199.3/2404:6800:4005:800::2003/
818,kissanime.to,104.25.20.21/104.25.21.21/
819,drom.ru,185.44.0.15/185.44.0.35/185.44.0.25/
820,tnaflix.com,77.247.179.176/
821,gamestop.com,72.52.14.123/
822,histats.com,174.36.232.136/
823,sky.com,90.216.128.5/
824,geocities.jp,
825,mysmartprice.com,119.81.76.78/
826,biobiochile.cl,50.97.94.37/
827,americanas.com.br,23.48.0.53/
828,as.com,91.216.63.241/91.216.63.240/
829,rakuten.ne.jp,
830,padsdel.com,
831,cracked.com,23.227.10.30/
832,sfr.fr,80.125.163.172/
833,marketwatch.com,205.203.139.53/
834,premierleague.com,46.38.180.104/
835,thepiratebay.la,
836,cam4.com,95.211.208.200/
837,jin115.com,125.6.190.6/
838,inquirer.net,54.209.160.99/52.5.147.165/
839,elwatannews.com,104.27.145.38/104.27.144.38/
840,kuronekoyamato.co.jp,
841,dingit.tv,104.24.0.50/104.24.1.50/
842,lego.com,171.20.53.203/
843,4chan.org,104.16.65.203/104.16.66.203/104.16.67.203/104.16.64.203/104.16.68.203/
844,blogspot.com.tr,216.58.221.137/2404:6800:4005:801::2009/
845,focus.de,62.138.108.130/
846,51sole.com,58.251.129.10/
847,goo.gl,216.58.221.78/2404:6800:4005:800::200e/
848,rapidgator.net,195.211.221.116/
849,wav.tv,136.0.116.211/136.0.116.212/136.0.116.214/136.0.116.213/
850,wattpad.com,54.83.5.150/
851,autohome.com.cn,223.202.33.196/
852,clickadu.com,206.54.181.15/206.54.181.14/206.54.181.13/206.54.181.6/
853,cloudsrvtrk.com,5.254.113.102/2a00:1768:1001:9::10/178.32.152.214/
854,intel.com,198.175.116.54/
855,mydala.com,180.179.100.77/
856,abril.com.br,2801:80:5c0:0:189:91:161:228/189.91.161.228/
857,t-mobile.com,206.29.177.10/
858,indianrail.gov.in,203.176.113.78/
859,mackolik.com,77.223.136.136/
860,kotaku.com,23.235.37.64/104.156.85.64/104.156.81.64/23.235.33.64/
861,clarin.com,200.42.136.212/
862,zozo.jp,175.111.83.1/
863,homepage-web.com,2400:cb00:2048:1::6819:1e24/104.25.30.36/104.25.31.36/2400:cb00:2048:1::6819:1f24/
864,wargaming.net,162.213.63.56/185.12.241.162/92.223.22.86/92.223.22.16/92.223.17.47/185.12.241.163/92.223.17.26/162.216.230.98/
865,babycenter.com,208.17.90.54/
866,126.com,220.181.12.218/123.125.50.22/
867,nhl.com,8.20.73.150/
868,nairaland.com,104.20.73.56/104.20.74.56/
869,reverso.net,89.107.171.183/
870,google.hr,2404:6800:4005:80a::2003/216.58.199.3/
871,cbs.com,64.30.228.50/64.30.228.49/
872,fatosdesconhecidos.com.br,190.93.248.13/190.93.249.13/
873,united.com,184.26.242.234/
874,pchome.com.tw,210.59.230.60/
875,hotstar.com,54.169.175.143/54.169.176.66/
876,o2.pl,212.77.100.61/
877,googleadservices.com,203.208.48.141/203.208.48.153/203.208.48.154/
878,milanuncios.com,54.230.2.74/
879,nypost.com,192.0.79.32/192.0.79.33/
880,bt.com,193.113.9.164/
881,prntscr.com,104.25.203.28/104.25.202.28/
